Package Name,Versions,Total Services,License,Description,Homepage,Repository,Dev Dependency,Services Using
@ampproject,2.3.0; 2.2.1; 2.2.0,26,Unknown,"",,,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/vue, cloned-repos/airtimemedia/airtime-meet, cloned-repos/airtimemedia/bigsur/test/kef_automation, cloned-repos/airtimemedia/boca/automation-test, cloned-repos/airtimemedia/bor-gullet, cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/dev-console-backend, cloned-repos/airtimemedia/fett, cloned-repos/airtimemedia/gaming-shared-cdk, cloned-repos/airtimemedia/jocasta-nu, cloned-repos/airtimemedia/media-panel-chrome-extension, cloned-repos/airtimemedia/mendocino/mendocino, cloned-repos/airtimemedia/merced/automation-test, cloned-repos/airtimemedia/merced/merced, cloned-repos/airtimemedia/node-zk-utils, cloned-repos/airtimemedia/platform-docs/website, cloned-repos/airtimemedia/shasta/shasta, cloned-repos/airtimemedia/tahoe/automation-test, cloned-repos/airtimemedia/tahoe/tahoe, cloned-repos/airtimemedia/the-force, cloned-repos/airtimemedia/transcription-demo, cloned-repos/airtimemedia/vandenberg, cloned-repos/airtimemedia/yoda, cloned-repos/airtimemedia/yosemite/yosemite""
@ampproject/remapping,2.3.0; 2.2.1; 2.2.0; 2.1.2,22,Apache-2.0,"Remap sequential sourcemaps through transformations to point at the original source code",https://github.com/ampproject/remapping#readme,git+https://github.com/ampproject/remapping.git,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/vue, cloned-repos/airtimemedia/bigsur/test/kef_automation, cloned-repos/airtimemedia/boca/automation-test, cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/dev-console-backend, cloned-repos/airtimemedia/fett, cloned-repos/airtimemedia/gaming-shared-cdk, cloned-repos/airtimemedia/grogu-external, cloned-repos/airtimemedia/media-panel-chrome-extension, cloned-repos/airtimemedia/mendocino/mendocino, cloned-repos/airtimemedia/merced/automation-test, cloned-repos/airtimemedia/merced/merced, cloned-repos/airtimemedia/node-zk-utils, cloned-repos/airtimemedia/platform-docs/website, cloned-repos/airtimemedia/sumo-log-collector, cloned-repos/airtimemedia/transcription-demo, cloned-repos/airtimemedia/vandenberg, cloned-repos/airtimemedia/yoda, cloned-repos/airtimemedia/yosemite/automation-test, cloned-repos/airtimemedia/yosemite/yosemite""
@angular,14.0.0-beta.41; 14.0.0; 8.3.2; 7.5.0,1,Unknown,"",,,No,""cloned-repos/airtimemedia/botbuilder""
@angular-devkit,14.0.0; 8.4.13; 6.6.7; 2.4.0; 1.14.1; 0.1400.0,1,Unknown,"",,,Yes,""cloned-repos/airtimemedia/botbuilder""
@angular-devkit/architect,0.1400.0; 0.1102.19,2,MIT,"Angular Build Facade",https://github.com/angular/angular-cli,git+https://github.com/angular/angular-cli.git,Yes,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
@angular-devkit/build-angular,14.0.0; 0.1102.19,2,MIT,"Angular Webpack Build Facade",https://github.com/angular/angular-cli,git+https://github.com/angular/angular-cli.git,Yes,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
@angular-devkit/build-optimizer,0.1102.19,1,MIT,"Angular Build Optimizer",https://github.com/angular/angular-cli,git+https://github.com/angular/angular-cli.git,Yes,""cloned-repos/airtimemedia/empire-admin""
@angular-devkit/build-webpack,0.1400.0; 0.1102.19,2,MIT,"Webpack Builder for Architect",https://github.com/angular/angular-cli,git+https://github.com/angular/angular-cli.git,Yes,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
@angular-devkit/core,14.0.0; 11.2.19,2,MIT,"Angular DevKit - Core Utility Library",https://github.com/angular/angular-cli,git+https://github.com/angular/angular-cli.git,No,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
@angular-devkit/schematics,14.0.0; 11.2.19,2,MIT,"Angular Schematics - Library",https://github.com/angular/angular-cli,git+https://github.com/angular/angular-cli.git,No,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
@angular-eslint,13.2.1,1,Unknown,"",,,Yes,""cloned-repos/airtimemedia/botbuilder""
@angular-eslint/builder,13.2.1,1,MIT,"Angular CLI builder for ESLint",https://github.com/angular-eslint/angular-eslint#readme,git+https://github.com/angular-eslint/angular-eslint.git,Yes,""cloned-repos/airtimemedia/botbuilder""
@angular-eslint/bundled-angular-compiler,13.2.1,1,MIT,"A CJS bundled version of @angular/compiler",https://github.com/angular-eslint/angular-eslint#readme,git+https://github.com/angular-eslint/angular-eslint.git,Yes,""cloned-repos/airtimemedia/botbuilder""
@angular-eslint/eslint-plugin,13.2.1,1,MIT,"ESLint plugin for Angular applications, following angular.io/styleguide",https://github.com/angular-eslint/angular-eslint#readme,git+https://github.com/angular-eslint/angular-eslint.git,Yes,""cloned-repos/airtimemedia/botbuilder""
@angular-eslint/eslint-plugin-template,13.2.1,1,MIT,"ESLint plugin for Angular Templates",https://github.com/angular-eslint/angular-eslint#readme,git+https://github.com/angular-eslint/angular-eslint.git,Yes,""cloned-repos/airtimemedia/botbuilder""
@angular-eslint/schematics,13.2.1,1,MIT,"Angular Schematics for angular-eslint",https://github.com/angular-eslint/angular-eslint#readme,git+https://github.com/angular-eslint/angular-eslint.git,Yes,""cloned-repos/airtimemedia/botbuilder""
@angular-eslint/template-parser,13.2.1,1,MIT,"Angular Template parser for ESLint",https://github.com/angular-eslint/angular-eslint#readme,git+https://github.com/angular-eslint/angular-eslint.git,Yes,""cloned-repos/airtimemedia/botbuilder""
@angular-eslint/utils,13.2.1,1,MIT,"",,,Yes,""cloned-repos/airtimemedia/botbuilder""
@angular/animations,14.0.0; 11.2.14,2,MIT,"Angular - animations integration with web-animations",https://github.com/angular/angular#readme,git+https://github.com/angular/angular.git,No,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
@angular/cdk,14.0.0; 7.3.7,2,MIT,"Angular Material Component Development Kit",https://github.com/angular/material2#readme,git+https://github.com/angular/material2.git,No,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
@angular/cli,14.0.0; 11.2.19,2,MIT,"CLI tool for Angular",https://github.com/angular/angular-cli,git+https://github.com/angular/angular-cli.git,Yes,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
@angular/common,14.0.0; 11.2.14,2,MIT,"Angular - commonly needed directives and services",https://github.com/angular/angular#readme,git+https://github.com/angular/angular.git,No,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
