================================================================================
ONE-WAY LATENCY ANALYSIS (BIXBY → MASTER)
================================================================================
Time Period: 2025-09-07T00:00:02+00:00 to 2025-09-27T07:21:55+00:00
Matched Entries: 4,156,756
Measurement: Bixby send time → Master receive time
================================================================================

OVERALL STATISTICS
--------------------------------------------------------------------------------
Count:       4,156,756
Min:             0.000 ms
Median:          6.000 ms
Max:         46980.000 ms
P99:           145.000 ms
P99.9:         151.000 ms
P99.99:      24425.298 ms

HOURLY STATISTICS
--------------------------------------------------------------------------------
Hour                    Count      Min   Median      Max      P99    P99.9   P99.99
--------------------------------------------------------------------------------
2025-09-09 15:00        9,731     0.00     6.00 29583.00   147.00   148.00 29224.94
2025-09-09 16:00        9,888     0.00     6.00   205.00   145.00   148.00   195.11
2025-09-09 17:00        8,986     0.00     7.00 27964.00   145.00   146.00 26609.06
2025-09-09 18:00        9,493     0.00     6.00   257.00   144.00   145.00   249.41
2025-09-09 19:00        9,063     0.00     6.00   270.00   146.00   223.64   266.38
2025-09-09 20:00        8,775     0.00     6.00   270.00   146.00   167.29   265.61
2025-09-09 21:00        8,353     0.00     7.00   259.00   148.00   167.07   248.14
2025-09-09 22:00        8,344     0.00     7.00 25075.00   148.00   149.00 24605.29
2025-09-09 23:00        8,485     0.00     7.00   236.00   148.00   149.00   229.21
2025-09-10 00:00        7,972     0.00    18.00   151.00   148.00   149.00   149.41
2025-09-10 01:00        8,086     0.00     7.00   149.00   147.00   148.00   149.00
2025-09-10 02:00        7,963     0.00     8.00   156.00   148.00   149.00   152.02
2025-09-10 03:00        7,971     0.00     8.00   278.00   148.00   222.12   277.20
2025-09-10 04:00        7,907     0.00    28.00   233.00   147.00   148.00   216.40
2025-09-10 05:00        7,955     0.00     8.00 19010.00   145.00   152.14 18448.45
2025-09-10 06:00        8,158     0.00     7.00 11385.00   143.00   144.84  8950.14
2025-09-10 07:00        8,256     0.00     7.00   183.00   145.00   146.00   175.57
2025-09-10 08:00        8,862     0.00     6.00   160.00   145.00   146.00   147.59
2025-09-10 09:00        9,054     0.00     6.00  1177.00   146.00   255.95   393.01
2025-09-10 10:00        9,059     0.00     6.00   202.00   145.00   146.00   182.98
